host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
couchsurfing.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
crashlytics.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
coches.net;54.192.95.26;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.45;09-05-2023 15:47:05
crtvg.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
cuatro.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
cnnespanol.go-vip.net;192.0.66.142;OK;2;San Francisco;California;US;40.4353,-3.6495;37.7509,-122.4153;AS2635;Automattic, Inc;94110;America/Los_Angeles;3.78;09-05-2023 15:47:05
db.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
cootlogix.com;34.117.168.233;OK;1;Kansas City;Missouri;US;40.4353,-3.6495;39.0997,-94.5786;AS396982;Google LLC;64106;America/Chicago;4.60;09-05-2023 15:47:05
dbonline.deutsche-bank.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
deezer.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:05
constantcontact.com;208.75.122.14;OK;2;Boston;Massachusetts;US;40.4353,-3.6495;42.3584,-71.0598;AS40444;Constant Contact, Inc;02108;America/New_York;106;09-05-2023 15:47:05
criteo.com;18.160.46.76;OK;1;South Riding;Virginia;US;40.4353,-3.6495;38.9209,-77.5039;AS16509;Amazon.com, Inc.;20152;America/New_York;88.1;09-05-2023 15:47:05
deliveroo.es;104.18.27.160;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;2.75;09-05-2023 15:47:06
dailymotion.com;195.8.215.136;OK;2;Paris;Île-de-France;FR;40.4353,-3.6495;48.8534,2.3488;AS41690;Dailymotion S.A.;75000;Europe/Paris;23.0;09-05-2023 15:47:06
